Gene	log2FC	p_value
6518	-3.0913	0.2201
80045	-1.4110	0.0709
106614088	-2.7080	0.0199
407040	-21.4835	0.0416
102724571	-1.8811	0.0858
9563	-2.3963	0.0360
80176	-0.5258	0.1264
100506022	0.3834	0.5572
84275	-0.1760	0.5251
199953	-0.9009	0.0283
107985734	-17.6154	0.0467
105376712	0.0000	nan
5293	-1.3341	0.0830
644997	0.0000	nan
101929074	-0.0839	0.9318
22883	-1.5750	0.0571
56998	-0.2133	0.7676
105376717	-0.0616	0.9540
84328	-0.0240	0.9615
64802	-0.6097	0.1341
113391335	-16.4176	0.4950
100847055	-18.9268	0.4950
116362	2.2225	0.2750
10277	-0.0890	0.8510
23095	0.6810	0.5850
105376725	-1.1981	0.3855
5226	-0.1659	0.5879
100526739	-0.3334	0.5084
378708	-0.4306	0.3398
1325	-0.8933	0.2182
1676	0.2399	0.4347
5195	-0.7092	0.3366
54897	-0.3279	0.7859
105376733	0.0000	nan
105376735	0.0000	nan
148345	4.0540	0.2986
23435	0.9768	0.4963
10747	-1.2810	0.1509
6723	0.7758	0.1648
5394	0.3408	0.0207
105376736	-0.4555	0.2548
2475	-0.3441	0.4653
100873935	0.5135	0.6229
10218	-14.4046	0.3033
29914	0.3442	0.1974
105376737	0.0000	nan
105376739	0.0000	nan
105376740	0.0000	nan
57540	-11.0016	0.4950
112268221	0.0000	nan
101929181	0.0000	nan
26232	-3.8043	0.4176
93611	-1.6775	0.0309
26270	0.0601	0.9538
10459	0.2990	0.6491
374946	0.2957	0.8830
57085	0.2432	0.8321
284498	-2.4340	0.0222
102724659	-0.4547	0.8002
4524	-1.4058	0.0117
1185	-1.2622	0.0881
100379251	-1.6842	0.0815
4878	-2.3619	0.3070
4879	17.5941	0.0550
26829	0.0000	nan
90231	-0.0815	0.8833
5351	-1.5024	0.0546
9927	-0.3432	0.3234
60672	-0.5407	0.5523
102466982	-19.4143	0.2691
943	-0.4125	0.8079
102465836	-18.6276	0.4950
7133	0.2028	0.5453
100616438	0.0000	nan
107984917	0.5479	0.7410
55187	-1.2591	0.0736
677885	1.1752	0.4317
105376744	-14.1649	0.2418
9249	1.1015	0.5164
102466722	-22.2242	0.1120
343066	-16.8874	0.0766
126767	-11.8896	0.4950
93190	-0.3609	0.8246
390999	-13.0432	0.4950
65121	16.3339	0.2722
105376745	0.0000	nan
440560	-12.7008	0.4950
343069	0.2801	0.7768
65122	0.0000	nan
400735	0.0000	nan
343071	0.0000	nan
441871	0.0000	nan
440561	0.0000	nan
101929983	0.0000	nan
649330	15.6111	0.2722
441873	0.0000	nan
649324	0.0000	nan
440563	16.9728	0.0253
645354	0.0000	nan
645359	0.0000	nan
101060301	14.3708	0.2722
343070	-13.3514	0.4950
400736	0.0000	nan
391003	0.0000	nan
343068	0.0000	nan
391002	0.0000	nan
645382	0.0000	nan
653619	-13.0104	0.4950
729528	0.0000	nan
645414	14.5342	0.2722
391004	-13.2164	0.4950
645425	0.0000	nan
126755	0.0000	nan
102724856	0.0000	nan
107984918	0.0000	nan
10630	-1.0104	0.4075
107984919	-17.1053	0.2738
105378612	3.6757	0.3078
105376756	-16.4209	0.4950
7799	-0.7303	0.3525
23254	-1.0223	0.0066
107985467	0.0000	nan
107985468	0.0000	nan
105376762	0.0000	nan
105376759	-2.0601	0.3351
107985469	0.0000	nan
200197	-3.0758	0.0295
55092	-0.8549	0.4908
727684	0.0000	nan
114827	-2.1364	0.2003
101927417	-1.4867	0.1963
101927441	-15.0249	0.0807
79180	-0.0097	0.9739
11330	-2.0895	0.0303
63036	-15.5976	0.2691
105376767	-15.1411	0.4950
51032	-19.1605	0.0337
842	-0.8742	0.1317
23341	-0.8722	0.1225
107397391	0.0000	nan
79814	0.9890	0.1281
84301	-0.7244	0.2416
6248	-0.2611	0.6635
23207	-0.8024	0.2154
284723	-1.8985	0.0841
110806303	1.0826	0.4242
388595	-13.3805	0.4950
54751	-0.3993	0.1602
440567	0.6848	0.5573
729614	-2.5979	0.0143
23013	-1.0267	0.1400
7709	-0.5700	0.4983
149563	0.0000	nan
27129	0.1290	0.8506
1187	-0.4495	0.6637
1188	-1.3482	0.3268
348487	-1.5495	0.1853
1969	-3.4979	0.3002
101927479	-1.1562	0.2978
128272	-1.8167	0.1576
101927546	-1.5445	0.1445
79363	-0.8537	0.3570
54455	-0.8832	0.0388
26099	-0.5323	0.1316
374955	-0.3671	0.1039
55707	-0.1821	0.6815
107984921	-0.5386	0.3665
114819	-1.8211	0.0066
26871	-0.7467	0.5686
107985757	0.0000	nan
100132147	-13.2811	0.4950
107985758	0.0000	nan
7195	0.0000	nan
55672	-0.8599	0.1094
105376794	-1.4479	0.3352
84809	-1.1778	0.2786
11209	-2.9569	0.0979
107985736	-3.0661	0.2622
26869	-0.9684	0.4682
107985759	0.0000	nan
284729	0.0000	nan
100189045	0.0000	nan
6060	-0.7488	0.6240
11223	-1.5736	0.3869
100500876	0.0000	nan
100189298	0.0000	nan
112267871	-15.5223	0.2192
7193	0.0000	nan
100189183	0.0000	nan
105376805	-0.9891	0.1344
791226	0.0000	nan
26870	-0.6470	0.6042
9696	-2.5299	0.0253
4237	-0.8751	0.3607
105376806	-0.8714	0.3833
23400	-1.2592	0.2595
6390	0.3187	0.6089
11240	-1.4012	0.1671
105376808	0.0000	nan
400743	-3.5828	0.0744
29943	-18.4518	0.1644
51702	13.4838	0.2722
100616188	0.0000	nan
23569	0.0000	nan
353238	2.6757	0.3546
55920	-0.4499	0.3578
55160	-2.0326	0.0139
107984028	0.0000	nan
81569	-14.5002	0.2691
105376809	15.2477	0.2722
105376812	0.0000	nan
101927876	0.0000	nan
84966	0.0000	nan
105376814	0.0000	nan
127707	2.5233	0.3665
5081	0.0000	nan
80834	0.0000	nan
8659	-0.6038	0.1952
100616120	0.0000	nan
100302276	0.0000	nan
126917	-1.1722	0.1894
105376815	0.0000	nan
23352	-1.5169	0.0705
101927895	-1.0319	0.0017
23065	-0.8750	0.0458
51154	0.4502	0.1906
246181	-1.9698	0.0568
22977	-1.7729	0.1313
100506730	-0.5383	0.1520
8574	-0.1717	0.7806
54896	-0.4142	0.4687
832	0.1979	0.0230
105376819	-1.3487	0.2910
105376818	-16.7109	0.4950
105376817	-0.9588	0.5640
105378614	-16.1817	0.4950
440574	0.7317	0.4997
100532736	-1.6584	0.2678
644068	-1.0154	0.2091
4681	-1.7321	0.2733
3362	-1.0459	0.6046
255104	-0.5080	0.4507
54546	0.0000	nan
105376823	2.7284	0.3408
23252	-0.5155	0.5617
30814	0.0000	nan
5320	-3.7885	0.4333
5322	-1.5755	0.3993
26279	0.0000	nan
64600	-12.4626	0.4950
391013	0.0000	nan
127733	2.1781	0.3801
101928017	0.0000	nan
105376825	0.0000	nan
105376826	0.0000	nan
105376827	0.0000	nan
105376828	0.0000	nan
127731	0.0000	nan
339505	-13.5400	0.4950
55450	0.9879	0.5082
79594	-0.9032	0.1060
163933	-1.5937	0.5742
978	2.1699	0.1206
65018	0.2461	0.5161
102464833	-0.8093	0.1280
100861548	0.5331	0.1305
1650	-0.3844	0.4802
57576	0.8392	0.3069
400745	0.1571	0.8280
112268222	-0.0286	0.9751
50809	-0.4325	0.5767
8672	-0.2804	0.6841
105376830	2.5930	0.0941
105376829	-17.0029	0.3065
100302155	0.0000	nan
1889	-1.1740	0.1133
100506801	-1.3727	0.0819
105376832	0.0000	nan
84224	-1.3317	0.1376
249	-3.0421	0.4355
105376834	-13.2285	0.4950
5909	-1.9233	0.1150
84196	-0.1477	0.8072
401944	-1.9255	0.0670
3339	-3.1070	0.0812
23436	0.0000	nan
10136	0.0000	nan
101928043	-0.9104	0.1015
29092	-0.6812	0.3732
112268223	-0.2575	0.6725
998	0.3982	0.1664
54361	-0.1589	0.9180
105376845	-2.8798	0.0338
105376850	0.2535	0.8752
107985377	0.0000	nan
100616433	0.0000	nan
105376856	0.2015	0.8906
9923	-1.5375	0.0099
2046	0.0000	nan
102466615	0.0000	nan
712	0.0000	nan
714	0.0000	nan
713	0.0000	nan
2048	0.3218	0.7170
100616391	0.0000	nan
100422914	-0.2494	0.7436
646262	0.0000	nan
729059	0.0000	nan
23028	0.6935	0.0006
100422866	0.0000	nan
7798	-1.3252	0.0406
3352	-0.4860	0.7675
100996511	-1.0504	0.2102
10236	-0.0593	0.9198
80818	-1.3582	0.0412
148898	-2.4110	0.0276
6920	0.9986	0.4883
55616	-0.3972	0.6755
1870	1.1826	0.4631
101928163	-14.9691	0.4950
105376859	-2.6419	0.0119
3399	1.5070	0.4170
107984928	3.4241	0.3125
259283	-13.4139	0.4950
6135	0.4798	0.6630
6924	-0.2159	0.5614
100506963	0.0871	0.7926
57095	-0.1288	0.4597
105376860	-0.9156	0.1256
11313	-0.6760	0.1650
2582	0.0136	0.9775
3155	-0.5788	0.4241
105376861	0.5915	0.7830
2517	-1.2954	0.3385
1269	-11.2145	0.4950
107984929	15.0514	0.2722
100616492	0.0000	nan
55629	0.2610	0.7101
10772	0.2092	0.8420
105378615	0.0000	nan
105376863	-13.6308	0.4950
107984931	18.2206	0.0004
127294	2.1612	0.0069
107985737	0.0000	nan
105376864	0.0000	nan
58985	0.5865	0.6994
163702	1.9734	0.4277
284632	0.0000	nan
105376871	-15.5970	0.2996
57822	-1.1283	0.0891
90529	-0.9358	0.3789
57185	-1.5587	0.4426
100750325	-1.3686	0.1306
11123	0.1945	0.8835
100506985	-0.4833	0.7335
400746	-11.2188	0.4950
10250	-1.0807	0.1937
25932	0.7576	0.5852
105376876	-15.5101	0.4950
864	-2.1501	0.1295
102465437	-19.5138	0.3066
107984932	1.9325	0.3994
105376878	-17.3431	0.0446
100616365	0.0000	nan
105376879	-0.9836	0.7376
25949	-0.0437	0.9404
57035	-2.4930	0.0058
105376882	-18.7674	0.0316
6007	-2.4903	0.0302
23585	0.1274	0.8651
6006	0.0329	0.9618
55219	0.3828	0.5922
26119	-1.4429	0.0548
57134	-1.1135	0.1332
57190	-0.9626	0.1533
56181	-0.5207	0.1926
646471	-1.7180	0.0063
79000	-0.7401	0.0361
164091	-0.4877	0.2016
3925	0.8310	0.4251
100500808	1.4756	0.2123
105376885	0.0000	nan
5051	0.0837	0.8472
101928216	-18.1683	0.4009
2134	-4.6801	0.3866
