Gene	log2FC	p_value
107986494	-16.5428	0.3066
105377761	15.1533	0.2722
105377762	-3.8051	0.1103
80230	-0.1454	0.2403
101928445	-0.5925	0.1911
3187	0.1094	0.8562
285679	0.2694	0.8412
105377763	-0.5532	0.3381
646019	-3.2031	0.0562
821	1.0280	0.3301
9794	-1.4313	0.0084
4056	-0.4761	0.6840
11282	-1.0348	0.0680
100302156	-1.9615	0.0304
8878	0.3110	0.7801
51149	0.1763	0.8482
100996419	-1.0783	0.2405
23061	-2.0191	0.0778
55819	-1.6312	0.0108
442908	0.0000	nan
255426	0.0000	nan
5601	-0.5108	0.3163
9945	0.1013	0.8978
102725231	-1.8182	0.3623
57472	-0.4543	0.4413
92304	0.0000	nan
2324	1.3765	0.4970
105377765	0.0000	nan
134083	0.0000	nan
4245	-1.6492	0.0172
105377766	-16.7118	0.0565
100859930	-0.4567	0.6064
729678	-1.2172	0.1369
643836	-1.1075	0.0224
79908	11.8813	0.2722
10917	12.9767	0.2722
153579	-1.8164	0.2394
102465882	0.0000	nan
7240	20.0386	0.2722
100189362	0.0000	nan
100189273	0.0000	nan
791232	19.6240	0.2722
26693	0.0000	nan
285659	0.0000	nan
100188990	0.0000	nan
7241	0.0000	nan
100189541	0.0000	nan
100189004	0.0000	nan
100189328	0.0000	nan
100188992	0.0000	nan
7219	0.0000	nan
102577426	-17.3157	0.2418
7236	0.0000	nan
105377769	0.4782	0.7174
81786	0.2459	0.7505
107986496	-0.4921	0.5215
100189280	0.0000	nan
100189399	-17.6853	0.4950
7239	-17.6502	0.4950
790966	0.0000	nan
100049614	-17.6502	0.4950
100616342	-19.1248	0.4950
90933	-1.4465	0.0219
10399	0.8571	0.5515
619571	-1.0733	0.4388
619570	-22.6087	0.1310
101928649	-2.4232	0.0202
84851	-1.4504	0.1191
100507602	0.4712	0.4173
105377771	-1.2227	0.1763
107986495	-1.1967	0.3451
100132062	-1.7531	0.0399
26683	-1.2707	0.1281
107986552	0.0000	nan
441123	-18.4732	0.0389
105374869	13.7025	0.2722
285766	14.2274	0.2722
105374870	0.0000	nan
102723922	0.3219	0.6161
107986553	2.5350	0.3549
56940	-1.4544	0.0156
3662	-0.6119	0.8184
105374875	-13.9589	0.4950
55770	-0.4003	0.0899
135458	-16.5737	0.0710
105374873	-1.0431	0.5822
101927691	-14.4592	0.3033
101927353	0.0000	nan
285768	-0.8847	0.2775
105374879	2.9168	0.0065
107986554	1.6134	0.3439
94234	1.0477	0.4521
106144586	-4.4190	0.0095
112267978	-15.9387	0.0502
105374880	-2.1302	0.1369
2295	-0.6192	0.1797
102466720	-2.9860	0.0475
102723944	-1.4719	0.2165
105374883	-19.6805	0.1192
105374882	-2.0080	0.0279
107986555	-13.7608	0.4950
101927703	-1.6435	0.1098
2296	-0.2687	0.5179
2762	-0.2969	0.4176
107986514	0.0695	0.9632
107986513	1.8473	0.3129
107986512	16.2977	0.0032
100508120	-1.1010	0.0113
154386	-0.7232	0.7007
105374885	0.0000	nan
340156	-0.8768	0.0250
56897	-0.7614	0.0081
1992	-0.4689	0.0819
100616285	0.0000	nan
221756	-0.7628	0.7365
101927730	-18.7607	0.1897
5272	0.1947	0.8350
105374887	-16.0247	0.4950
5269	0.5776	0.0723
401232	0.1910	0.6636
105374888	-2.7121	0.0411
4835	0.1004	0.9140
401233	-1.7419	0.2726
101927759	-1.5075	0.1502
8737	-0.6575	0.0147
107986556	-0.0210	0.9785
670	0.6359	0.0893
7280	0.5842	0.0615
105374889	-2.9217	0.0487
100507194	0.0000	nan
347733	0.4854	0.3666
100422781	-3.8151	0.1334
389362	-0.5829	0.1191
63027	-1.5416	0.0744
105374890	0.0000	nan
643327	-2.0408	0.0142
100507336	-2.3121	0.3770
221749	-1.0001	0.1416
26240	-1.6890	0.1581
107986557	-4.9345	0.2283
105374893	0.0000	nan
107986558	-6.7133	0.0169
8899	-0.8827	0.2124
222826	0.3882	0.8608
404220	0.4079	0.5013
10455	-0.0486	0.8896
100507506	-0.5481	0.7302
107986559	16.2061	0.2722
102724096	-14.2241	0.4950
101927888	-15.1062	0.4219
107986560	0.0000	nan
107986561	0.0000	nan
105374894	-14.3005	0.3065
105374895	0.0000	nan
497048	-16.6593	0.1898
9425	-0.4794	0.1787
101927913	0.0000	nan
105374897	-1.9721	0.5419
10799	0.4846	0.0947
100129461	0.4121	0.2671
57128	0.0071	0.9926
648791	-2.0137	0.1472
100500900	0.0000	nan
10667	-0.2457	0.6744
101927972	0.0000	nan
101927950	3.5189	0.3126
107986515	-2.1023	0.3907
105374898	0.7895	0.3808
107986516	-18.3740	0.2157
51299	0.2060	0.5231
2162	-2.8360	0.4236
102466866	0.0000	nan
100847034	0.0000	nan
285780	-12.8932	0.4950
9450	0.0000	nan
101928004	-3.6696	0.2262
101928047	1.8081	0.2661
105374901	0.0000	nan
105374903	0.0000	nan
105374902	0.0000	nan
105374904	0.0000	nan
6239	-1.1487	0.0786
6745	1.9179	0.3669
285782	-1.6998	0.0210
83732	0.4856	0.2686
102724234	-2.0097	0.1997
101928076	-0.2900	0.6551
1832	0.1841	0.8543
154007	-0.1041	0.8896
105374906	0.6414	0.6668
654	-0.5984	0.0959
105374907	0.0000	nan
100526836	-0.3018	0.2783
81567	-0.2992	0.2946
206426	-3.0541	0.1684
100526837	-0.1786	0.7151
63915	-0.1930	0.6978
9521	0.1753	0.8302
100124533	-0.5751	0.5616
105374910	-14.7044	0.4950
105374911	19.4686	0.2722
105374912	0.0000	nan
51000	-1.3792	0.0258
100506207	-0.9826	0.2027
728655	0.1264	0.9559
112267952	-12.4185	0.4950
105374913	-11.4317	0.4950
105374914	0.0000	nan
107986562	0.0000	nan
112267894	0.0000	nan
112267856	-15.4372	0.4950
266553	-15.0462	0.4950
105374919	0.0000	nan
105374918	0.0000	nan
105374920	0.0000	nan
105374921	0.0000	nan
7020	-3.5083	0.0622
109729173	-2.0256	0.0236
100130275	-3.9935	0.0126
107986564	-14.7848	0.4950
221718	-12.3156	0.4950
106660610	3.1611	0.3265
100846998	0.0000	nan
101928106	-12.0970	0.4950
101928146	18.1857	0.2722
2651	1.0447	0.5421
105374924	-17.1749	0.1439
347744	0.6976	0.5576
105374923	0.1140	0.9527
55003	0.8082	0.0239
51522	0.2579	0.7087
81853	1.1019	0.3040
4117	-0.2734	0.6262
9247	-12.5645	0.4950
221711	-0.0283	0.9704
101928191	0.0000	nan
54898	3.5387	0.0297
100506409	0.0000	nan
221710	-0.8810	0.2754
405754	0.0000	nan
4739	-1.8231	0.0423
105374925	-1.7809	0.0947
112267953	-14.2329	0.2192
105374927	-15.9875	0.3066
105374928	-11.4365	0.4950
105374929	0.0000	nan
100113407	-1.8920	0.0578
340184	-17.0697	0.3862
84830	-0.3279	0.7566
107986566	1.1510	0.4422
107986569	-0.1473	0.9078
107986567	0.0000	nan
102724379	-14.5711	0.4950
107986570	0.0000	nan
101928253	0.0000	nan
3096	-1.0130	0.1856
1906	1.2409	0.1304
105374931	15.9511	0.2722
101928309	-13.8166	0.4950
107984015	-17.6738	0.2280
221692	-1.5083	0.2621
105374935	-17.9664	0.2678
105374934	-15.6523	0.4950
105374933	-1.4093	0.3069
107080638	-0.0409	0.9256
100130357	-0.8978	0.0544
51256	0.0425	0.9297
105374936	0.0000	nan
54438	-0.0906	0.9197
105374937	-0.2539	0.8438
23408	-0.2920	0.0122
105374938	-1.1628	0.0453
51406	1.5174	0.2768
10048	-0.3917	0.4923
63933	-0.4237	0.5287
107986571	0.5183	0.3886
221687	-0.1475	0.8791
105374939	17.7667	0.2722
9308	-1.2424	0.4123
105374940	0.3738	0.8662
102216342	-13.3601	0.4950
105374943	0.0000	nan
105374942	0.0000	nan
101928331	0.0142	0.9923
101928354	0.0000	nan
102724463	0.0000	nan
107986572	17.8340	0.2722
105374944	0.0000	nan
105374945	14.1588	0.2722
105374946	0.0000	nan
3720	0.4309	0.4283
100506681	16.5724	0.2722
84062	-0.4867	0.0461
105374947	-2.0292	0.0458
102724520	0.0000	nan
105374948	4.2606	0.2947
105374949	3.3883	0.3172
101928406	17.7283	0.2722
29116	-3.1159	0.0853
100616269	-21.2366	0.4395
107986517	-0.1677	0.9189
2766	0.5687	0.5911
6310	-1.3403	0.0286
101928433	-1.4980	0.0550
107986573	-15.8767	0.4950
105374951	0.0000	nan
101928463	-0.7324	0.7044
401236	-18.2914	0.3643
221662	0.4301	0.6761
10486	0.4227	0.7238
101928491	-19.8891	0.3549
102724591	-3.8691	0.0148
51439	-1.1265	0.1915
9972	0.1940	0.8233
105374952	-0.7337	0.0974
63971	-1.3035	0.2907
105374953	0.8426	0.6040
378884	0.2478	0.3279
7172	1.0394	0.3507
221656	0.3586	0.6735
7913	1.6482	0.3878
255488	0.0685	0.9014
105374955	-15.6902	0.3065
105374956	0.3888	0.8606
693125	0.0000	nan
105374957	0.0000	nan
100189287	0.0000	nan
105374958	-14.5264	0.4950
101928519	-16.6584	0.1000
107986574	-17.5447	0.2192
105374961	-15.2781	0.4950
107986575	-1.4598	0.3066
105374960	0.0000	nan
105374959	0.0000	nan
100506885	2.4938	0.3552
105374963	0.0000	nan
3400	-0.4146	0.6832
105374965	-14.6356	0.2754
154141	-0.1719	0.8564
101928573	-16.3810	0.1897
107986576	-14.2478	0.4950
1871	-0.8620	0.1922
54901	-0.1400	0.6671
105374968	-1.8258	0.2708
107986577	-13.2597	0.4950
105374966	16.8882	0.2722
107986578	-1.0070	0.0918
100874531	-14.9108	0.2192
107986579	-17.0913	0.3052
6659	-1.3865	0.4510
401237	-0.0042	0.9980
105374970	0.0000	nan
729177	-0.2486	0.8299
5617	-0.9814	0.6447
105374971	-12.5267	0.4950
154150	0.0000	nan
105374972	0.0000	nan
105374973	-13.3940	0.2418
102724736	0.0000	nan
105374974	0.0000	nan
102724749	-10.0108	0.4950
105374976	0.0000	nan
105374975	0.0000	nan
140767	0.0000	nan
51473	-12.9755	0.4950
353219	-14.7787	0.4950
57380	-0.6856	0.1338
2822	-0.7474	0.3557
7915	-1.2533	0.2978
9856	-12.9797	0.2277
51567	-0.7380	0.1421
55856	0.8903	0.0017
81688	-0.2361	0.5578
105374978	0.0000	nan
51053	0.9231	0.0838
101928603	-15.9897	0.3065
9750	-1.4522	0.2909
105374981	-13.0022	0.4950
102724765	-14.5665	0.2691
8418	-1.7765	0.1347
101928663	0.7375	0.6873
105375106	-19.2510	0.1334
55604	-1.0710	0.2301
10590	0.0000	nan
6568	0.0000	nan
221613	0.0000	nan
255626	0.0000	nan
387319	0.0000	nan
10050	0.0000	nan
10786	0.0000	nan
10246	-18.4304	0.4290
10475	-0.6936	0.0137
3024	0.0000	nan
8350	-17.1723	0.1082
8359	0.0000	nan
8366	0.0000	nan
8358	16.7032	0.2722
8335	0.0000	nan
3018	-15.1237	0.4950
8352	-17.8509	0.3033
3006	-1.2591	0.4051
108783645	-1.7489	0.0186
3077	-0.8850	0.2366
8364	1.3740	0.5424
3010	0.0000	nan
8347	-1.7017	0.2210
8334	-2.0505	0.0731
3008	0.0100	0.9939
3017	-2.5766	0.2219
8344	3.0686	0.3259
8360	0.0000	nan
8351	-19.5275	0.2428
3013	-19.0634	0.3862
8343	-18.8367	0.3266
8367	-2.3833	0.2804
8339	-21.0275	0.2120
3012	-1.9395	0.3188
8353	-1.9458	0.3865
3007	0.6099	0.7587
8361	0.0000	nan
8369	0.0000	nan
8968	-17.7011	0.0658
8345	-1.2945	0.4383
105374986	-13.9213	0.4950
8355	-16.3449	0.4950
8346	0.0000	nan
105374985	-1.1862	0.5032
8365	-1.9729	0.3474
7210	0.0000	nan
7232	0.0000	nan
100189218	0.0000	nan
100189321	0.0000	nan
100189185	0.0000	nan
100189430	0.0000	nan
100189094	-17.6702	0.4950
100189436	0.0000	nan
100189410	21.8463	0.2722
101928743	-16.1352	0.3033
100189382	0.0000	nan
100189396	0.0000	nan
100189040	0.0000	nan
100189048	0.0000	nan
107986582	16.5280	0.2722
11118	-0.1238	0.8656
10385	-1.1729	0.0531
11119	-0.7409	0.2557
54718	-2.0615	0.0262
10384	-1.0150	0.2378
11120	-0.8462	0.0671
285819	0.7432	0.4004
107986583	-1.3591	0.0568
696	-17.0719	0.0544
100189288	-18.8372	0.4950
493812	-0.4126	0.5810
100189319	-17.6307	0.4950
7231	0.0000	nan
100189227	-19.5032	0.3032
10473	1.1302	0.4408
100189308	0.0000	nan
100189153	0.0000	nan
100189223	0.0000	nan
100189110	5.0297	0.2030
100189272	0.0000	nan
105374988	-15.1945	0.2729
100189337	0.0000	nan
100189162	0.0000	nan
100189219	0.0000	nan
29777	-0.7289	0.1802
105374989	-0.0972	0.9553
79692	-0.8870	0.0790
102724851	-0.5123	0.6434
105374991	-14.5341	0.4950
100189303	0.0000	nan
100189401	0.0000	nan
100189391	0.0000	nan
100189354	0.0000	nan
100189372	0.0000	nan
107986682	0.0000	nan
107986683	0.0000	nan
105374992	0.0000	nan
107986680	0.0000	nan
387036	-1.5732	0.0137
100133205	-2.4951	0.1137
100270746	1.6811	0.3786
100189028	0.7279	0.6697
100189172	0.0000	nan
100189157	-18.5002	0.2192
105374995	-2.5050	0.3209
8970	-0.7934	0.5025
8969	0.3691	0.7847
85236	-0.4006	0.6883
8294	-19.0994	0.1082
85235	-15.9478	0.2192
100422934	0.0000	nan
100189196	0.0000	nan
100188987	0.0000	nan
100189143	0.0000	nan
100189336	0.0000	nan
100189368	0.0000	nan
100189041	0.0000	nan
100189167	0.0000	nan
100189099	0.0000	nan
100189067	-18.8372	0.4950
100189014	0.0000	nan
100189310	19.3762	0.2722
10279	-13.3801	0.4950
7202	0.0000	nan
100189213	0.0000	nan
100189363	0.0000	nan
100189408	0.0000	nan
100189329	0.0000	nan
100189002	0.0000	nan
94026	0.0000	nan
105375107	0.0000	nan
387316	0.0000	nan
100189345	0.0000	nan
100189182	0.0000	nan
7754	-17.4452	0.1224
346157	1.0796	0.4287
7738	-0.5915	0.2547
105375001	-2.1502	0.0292
100189077	-17.5176	0.4950
100189158	-18.6878	0.2192
23437	-17.4825	0.4950
100189247	0.0000	nan
100189292	0.0000	nan
107986584	-13.4049	0.3033
23540	0.0000	nan
100189189	0.0000	nan
790951	0.0000	nan
100189352	0.0000	nan
94017	0.0000	nan
100189268	0.0000	nan
100189070	0.0000	nan
100189012	0.0000	nan
100189390	0.0000	nan
100189200	0.0000	nan
100189053	0.0000	nan
100189297	0.0000	nan
100189038	0.0000	nan
100189301	0.0000	nan
100189300	0.0000	nan
100189131	0.0000	nan
791231	0.0000	nan
100189095	0.0000	nan
100189428	0.0000	nan
100189205	0.0000	nan
100189161	0.0000	nan
100189340	0.0000	nan
100189071	0.0000	nan
100507173	0.0000	nan
100189164	0.0000	nan
100189374	0.0000	nan
100189101	0.0000	nan
791230	0.0000	nan
100131289	2.6137	0.1700
7212	0.0000	nan
100189214	0.0000	nan
100189074	0.0000	nan
8340	0.7110	0.7437
8329	0.6031	0.6822
8357	0.9167	0.6266
8331	1.2576	0.4981
8342	-15.0391	0.4950
8363	0.6518	0.6876
8362	0.1622	0.9127
8330	-3.5556	0.1151
8341	-1.7291	0.4687
8332	0.7288	0.6694
3009	0.0000	nan
8354	0.0000	nan
8368	0.0000	nan
8356	18.6853	0.2722
8336	-1.6854	0.4471
8348	0.3740	0.8661
100189315	0.0000	nan
100189314	0.0000	nan
81697	0.0000	nan
26212	0.7104	0.7439
442179	0.7110	0.7437
102724889	-1.6293	0.1654
7718	-1.5847	0.0229
221584	-0.0923	0.8931
100129195	-0.4883	0.2541
80345	-0.6986	0.2647
7745	-1.2397	0.1400
651302	-0.5482	0.3577
100189159	0.0000	nan
222699	-1.1821	0.1254
7746	-0.8272	0.0485
387032	-1.1475	0.0112
222698	1.6188	0.1994
7741	-0.7170	0.0113
84547	-0.5661	0.0412
64288	-1.0337	0.1356
80317	-0.3407	0.3632
9753	-1.0545	0.1924
105374998	0.0000	nan
105374997	-0.0284	0.9790
222696	-0.5397	0.5680
100189344	0.0000	nan
100189118	0.0000	nan
100189035	0.0000	nan
257202	0.0000	nan
2880	0.0000	nan
100189348	0.0000	nan
107986586	0.0000	nan
100189034	0.0000	nan
114821	1.3780	0.2671
100189138	-17.6702	0.4950
100189225	0.0000	nan
100189299	20.8663	0.2722
105374996	0.0000	nan
100189114	0.0000	nan
100189360	0.0000	nan
387055	0.0000	nan
100189046	0.0000	nan
100189400	0.0000	nan
100189395	0.0000	nan
100189092	0.0000	nan
100189433	0.0000	nan
100189033	0.0000	nan
100189178	0.0000	nan
100189365	0.0000	nan
100189332	0.0000	nan
100189082	0.0000	nan
100189149	0.0000	nan
100189137	0.0000	nan
100189346	0.0000	nan
100189170	0.0000	nan
100189066	0.0000	nan
100189093	0.0000	nan
401242	0.0000	nan
100189295	0.0000	nan
100189084	0.0000	nan
107987402	0.0000	nan
414760	-15.1570	0.4950
5987	-0.7984	0.1121
100189237	0.0000	nan
100189121	0.0000	nan
100189202	19.4566	0.2722
729583	-14.3149	0.4950
100189216	0.0000	nan
100189234	-17.6853	0.4950
100189111	0.0000	nan
100189254	0.0000	nan
100189024	0.0000	nan
414761	-2.8907	0.0749
100189169	1.3534	0.5475
282890	0.5557	0.5888
105375002	0.0000	nan
100129636	0.0000	nan
26692	0.0000	nan
442184	0.0000	nan
442185	0.0000	nan
105375003	0.0000	nan
442186	0.0000	nan
26707	0.0000	nan
101929006	0.0000	nan
105375006	0.0000	nan
105375005	0.0000	nan
442191	0.0000	nan
81696	0.0000	nan
81797	0.0000	nan
26529	0.0000	nan
105379641	0.0000	nan
26530	0.0000	nan
26531	0.0000	nan
442194	0.0000	nan
26716	14.5885	0.2722
105375008	0.0000	nan
116511	0.0000	nan
105375009	0.0000	nan
100507362	0.0000	nan
10537	-14.0360	0.4950
692092	0.0000	nan
7932	0.1436	0.9266
2550	-1.0674	0.3011
4340	12.9183	0.2722
346171	14.9759	0.0551
3134	0.4821	0.6876
285830	-1.3192	0.0692
340198	-18.6873	0.1896
54435	-14.4521	0.2754
352962	-14.5476	0.4950
3135	-1.6013	0.1581
105375010	-1.2106	0.6983
352990	-15.4455	0.0501
3136	-1.9595	0.0360
80868	-3.6662	0.0146
3105	-1.0316	0.2431
10255	-16.7028	0.2261
80862	-1.4818	0.0300
3137	-3.1372	0.3814
30834	-0.0322	0.9623
6992	0.2831	0.0442
80352	-0.2283	0.3782
11074	0.0000	nan
104533120	0.0000	nan
135644	0.0000	nan
10107	-11.7346	0.4950
89870	0.0000	nan
7726	-0.4576	0.3379
414778	-2.7604	0.1056
3139	-1.3560	0.1051
414777	-1.0429	0.0791
56658	-0.5452	0.1722
202658	0.3381	0.2718
79897	0.9051	0.0511
105375012	15.9545	0.2722
3133	-0.2516	0.7753
111082993	-18.1414	0.0233
2794	-0.9282	0.2027
80742	-0.4506	0.3503
107986587	-1.6632	0.0526
23	-0.2414	0.5704
100126314	-20.9122	0.1255
5514	-0.4039	0.4857
28973	0.6521	0.5414
79969	-1.0339	0.0665
221545	-1.0072	0.0461
8449	-0.7460	0.2558
170954	-0.5214	0.1972
11270	1.9578	0.1301
9656	-0.9414	0.0906
106478956	-0.6506	0.1769
203068	1.3632	0.0408
10211	0.4505	0.1674
105379695	-1.1050	0.3853
8870	-1.2601	0.4931
105375013	1.1364	0.0765
401247	2.0898	0.3842
105375014	0.0000	nan
780	-1.4740	0.0785
100616237	-17.3834	0.4950
2968	-1.5785	0.0206
57176	-1.6098	0.0417
389376	0.0000	nan
135656	0.6329	0.7164
102723346	-15.0992	0.4950
394263	0.0000	nan
100507679	0.0000	nan
285834	13.1367	0.2722
29113	0.0000	nan
170679	-4.7058	0.0053
1041	-2.7645	0.0573
170680	-3.6412	0.0056
54535	0.2156	0.8397
6941	0.7559	0.4699
5460	-0.4150	0.7013
100130889	-17.8749	0.0023
253018	-2.5512	0.0252
3107	0.2562	0.8166
105375015	0.0000	nan
112267902	0.0000	nan
3106	-0.2675	0.8164
102465537	-19.5067	0.1083
101929072	-0.7095	0.3455
100507436	-0.6662	0.2868
101929111	-15.9738	0.2276
10866	-1.1743	0.4698
352961	-17.5368	0.4082
102725068	-0.2753	0.7794
4277	0.2811	0.4059
401250	0.7113	0.7435
100532737	0.4994	0.0270
7919	0.5057	0.0262
692233	-21.1449	0.0741
692199	-0.8260	0.3314
106478957	0.1261	0.8304
534	0.1492	0.6991
4795	0.1589	0.8926
100287329	0.1258	0.9562
4049	-14.8509	0.3642
7124	4.0537	0.2986
4050	-17.1507	0.0007
7940	-14.0791	0.4950
259197	15.2949	0.2722
199	16.6318	0.2722
7916	-1.3045	0.1035
677820	-17.8308	0.4950
102466745	-1.6621	0.3970
7917	-0.8366	0.1005
55937	-0.5405	0.1961
57827	-0.8613	0.1368
7918	-0.2793	0.7558
1460	1.2858	0.3392
58496	-0.2769	0.7915
80741	0.5220	0.5297
105375019	0.3724	0.5078
7920	-0.4768	0.5046
105375018	-4.3430	0.0564
100616230	0.0000	nan
110599563	0.0000	nan
259215	-13.8766	0.4950
79136	0.0000	nan
58530	0.0000	nan
80740	-14.0727	0.4950
80739	-17.0775	0.0000
23564	-0.4004	0.5937
1192	1.0999	0.0676
105375020	0.3372	0.7992
100532732	-0.5763	0.2619
4439	-0.5258	0.2880
401251	-0.1431	0.8384
80737	-0.3249	0.6811
104413891	0.8697	0.3831
7407	-0.6077	0.2729
57819	0.9403	0.4599
3305	-1.2604	0.1261
3303	-0.6269	0.4185
3304	-0.8179	0.3110
50854	-0.5150	0.5107
26801	-1.9043	0.0409
26797	-3.1836	0.1041
4758	0.4586	0.6330
80736	15.7498	0.2722
10919	-0.5062	0.3472
107986588	0.1973	0.5637
717	-0.0550	0.9636
221527	-2.2827	0.0160
102060414	-17.3851	0.0371
629	-0.8575	0.4474
7936	0.5345	0.5465
100302242	-19.0206	0.3033
6499	-1.5960	0.0158
1797	-0.6688	0.3312
8859	-0.6748	0.4244
720	-1.3390	0.0691
1590	-2.4269	0.3591
7146	-2.0833	0.4110
721	-0.7754	0.2672
1589	-2.5817	0.3755
7148	-3.8766	0.3270
1388	-1.0395	0.0214
63943	0.0401	0.9706
80863	-1.1230	0.1012
100507547	-2.3096	0.0023
9374	-1.5318	0.0034
100532746	-2.0577	0.0013
80864	-1.7213	0.0151
10554	0.0727	0.6437
102466190	0.5734	0.6032
6048	0.2920	0.4091
102465500	0.9562	0.5945
177	-0.5319	0.4263
5089	-0.9675	0.0100
63940	0.2276	0.8368
4855	0.6383	0.1036
101929163	1.6752	0.4772
10665	0.0000	nan
414764	0.5326	0.7471
56244	-12.2008	0.4950
3122	3.1158	0.0102
3127	-13.4148	0.4950
3128	-13.5700	0.4950
3123	4.3221	0.2251
107986589	0.0000	nan
3117	0.0000	nan
3119	0.0000	nan
106480429	0.0000	nan
102725019	0.0000	nan
3118	0.0000	nan
100616218	0.0000	nan
3120	16.6161	0.2722
3112	0.3899	0.8602
6891	-0.7500	0.1188
5696	0.5371	0.6425
100507463	0.3014	0.8007
6890	0.2360	0.8304
5698	1.5642	0.2135
100294145	0.6574	0.5250
3109	4.3308	0.2936
3108	0.5117	0.1343
6046	-0.8196	0.0520
3111	-12.0827	0.4950
3113	-0.8803	0.5054
3115	0.6596	0.2865
3116	-15.7723	0.4950
105375021	0.0000	nan
414768	0.0000	nan
1302	-4.3836	0.0227
6257	-1.2052	0.0540
7922	-0.9034	0.2834
7923	0.2344	0.8390
407002	-18.0764	0.2192
6015	-0.6314	0.3300
105375022	0.0738	0.9529
414765	1.8506	0.0527
6293	0.6301	0.0776
6222	0.2230	0.8634
8705	-1.8846	0.2465
9277	-0.4572	0.5673
102466754	-20.0685	0.1082
10471	-0.6998	0.3513
102465501	-1.2804	0.1579
5863	-0.9785	0.1321
6892	-0.4296	0.7184
9278	-1.3885	0.0588
1616	0.1122	0.5891
113523636	-14.6705	0.4950
3833	1.5521	0.0991
5252	-1.0547	0.0731
51596	0.3712	0.5052
8831	-2.6913	0.0024
100847012	-2.4853	0.0222
221504	-0.2683	0.0820
107986537	-14.8556	0.4950
578	-1.2268	0.0285
449520	4.8479	0.2867
401253	17.8882	0.2722
3710	-1.9091	0.2263
101929188	-1.0601	0.0469
105375023	0.0000	nan
84300	-0.2163	0.7649
100500873	-2.1798	0.0305
117283	-14.5544	0.0056
221496	-1.1660	0.1095
105375024	-18.3481	0.0581
4295	-17.3302	0.3875
105375025	0.0000	nan
105375027	0.0000	nan
100507584	-13.5908	0.4950
105375026	0.0000	nan
102466816	0.0000	nan
107986590	0.0000	nan
100302123	0.0000	nan
2914	2.0017	0.4072
3159	0.4163	0.3666
102465502	0.5243	0.7238
221491	0.6071	0.6049
11165	-0.2912	0.1784
100529239	0.2507	0.7932
6204	0.2887	0.7732
29993	-12.4272	0.4950
25803	-15.4438	0.1420
64771	-0.8535	0.1092
105375028	-18.7406	0.2261
101929243	-0.5986	0.1106
6631	-0.0780	0.9339
54887	-0.6936	0.4478
6882	-0.2576	0.5928
23294	-1.1232	0.1763
6954	-1.1726	0.4307
112267955	-2.2707	0.0529
222663	2.2381	0.3407
101929285	-1.2473	0.1940
7629	-0.8902	0.2275
50619	-2.5922	0.2808
5467	-1.0119	0.0616
2178	-0.7773	0.3082
4736	0.3403	0.7608
102465668	-2.8133	0.3222
7005	-1.3204	0.0225
7287	-18.0131	0.0428
101929309	0.0000	nan
2289	0.5444	0.6498
112267956	0.0000	nan
100847048	0.0000	nan
285847	0.1289	0.9285
221481	-2.6792	0.0726
389383	0.0000	nan
340204	0.0000	nan
1208	0.0000	nan
222662	-14.1872	0.4950
6732	-0.7585	0.1698
116369	0.4909	0.3802
105375035	-0.4520	0.7741
105375034	-0.8807	0.6990
1432	-0.9181	0.0225
5603	-0.5551	0.2650
102723648	-2.5458	0.1062
27154	-1.4656	0.0305
105375036	2.3532	0.3615
285848	1.7708	0.4141
389384	0.0000	nan
51513	0.8429	0.5943
105375037	-19.8741	0.4219
222659	0.7107	0.6491
222658	-1.0205	0.0675
11329	-0.6526	0.2495
6428	0.4823	0.5868
100500885	0.0000	nan
105375038	1.9563	0.4027
101154753	0.6517	0.6286
1026	-1.1602	0.0371
108783646	-3.4948	0.0115
401258	-1.8550	0.0584
57699	-0.9791	0.4107
221477	-0.8023	0.2014
51645	-0.1816	0.7966
221476	2.6065	0.3522
23787	-0.1315	0.8022
221472	3.6640	0.1327
5292	-1.0789	0.3084
221468	-1.3264	0.3293
55633	-0.9408	0.1155
105375040	-14.2572	0.4950
9025	0.1390	0.3348
107986531	-2.1920	0.0649
23070	-0.7155	0.1195
154467	0.3369	0.7107
100505530	0.0000	nan
100616413	0.0000	nan
266727	-5.0101	0.4021
107986593	0.1238	0.9340
60685	-1.1708	0.0383
114781	-0.8749	0.2412
105375045	-14.9630	0.2192
101929425	-14.4915	0.4950
105375044	-1.4759	0.2137
2739	-0.0846	0.8572
1769	0.7349	0.4807
100131047	16.9826	0.2722
2740	-10.9958	0.4950
105375046	0.0000	nan
113218508	0.0000	nan
55776	-0.8276	0.0762
8645	12.3432	0.2722
89822	0.0000	nan
105375047	1.3615	0.5090
83795	0.0000	nan
221458	-0.1126	0.8748
107986594	3.1041	0.3292
23500	-1.3406	0.0443
100505635	-2.4716	0.0313
4337	0.0831	0.7084
102723789	0.0000	nan
105375049	0.0000	nan
105375050	0.0000	nan
401260	0.0000	nan
732253	0.0000	nan
57497	0.0000	nan
105375051	0.0000	nan
101929535	0.0000	nan
105375052	0.0000	nan
105375053	0.0000	nan
101929555	-4.4126	0.4699
222643	-0.6030	0.5809
222642	1.7393	0.4432
10930	1.8484	0.2278
221443	0.2588	0.6763
4800	-0.4535	0.4195
221442	-2.0858	0.0578
340205	0.0000	nan
105375056	0.0000	nan
54209	0.0000	nan
107986595	0.0000	nan
79865	0.0000	nan
